genre,director_popularity,budget_musd,runtime_min,release_year,social_buzz,critic_score,star_power,audience_rating
Romance,0.289,32.728,111,2013,0.464,69.975,0.703,8.022
Horror,0.707,44.041,100,2008,0.283,77.258,0.527,8.457
Comedy,0.672,10.057,109,2016,0.32,82.252,0.701,8.04
Comedy,0.738,13.9,97,2025,0.665,53.65,0.139,8.612
Animation,0.156,35.367,118,2017,0.498,42.754,0.615,8.455
SciFi,0.145,31.308,126,2002,0.398,66.174,0.575,8.992
Drama,0.547,25.88,101,2022,0.55,62.646,0.744,9.333
SciFi,0.538,49.067,70,2020,0.568,62.152,0.561,8.81
Comedy,0.39,48.46,85,2014,0.31,44.457,0.74,7.631
Horror,0.827,24.143,135,2014,0.431,72.305,0.0,7.808
Action,0.448,33.744,116,2001,0.624,60.348,0.429,9.14
SciFi,0.096,30.307,118,2021,0.696,83.891,0.87,8.483
Animation,0.577,58.441,111,2010,0.339,79.94,0.708,9.714
Animation,0.257,40.758,110,2011,0.918,55.484,0.585,9.401
Horror,0.304,59.623,87,2011,0.566,51.339,0.638,7.847
Action,0.451,12.268,122,2007,0.596,73.93,0.483,9.437
Romance,0.627,37.584,105,2013,0.83,72.532,0.416,8.274
SciFi,0.705,27.327,127,2022,0.245,56.727,0.888,8.542
Drama,0.486,46.678,97,1999,0.416,49.482,0.587,9.021
Animation,0.341,19.041,94,2015,0.878,56.792,0.594,8.876
Drama,0.552,11.588,125,2023,1.0,98.135,0.477,10.0
SciFi,0.43,42.658,107,2023,0.459,70.801,0.179,8.383
Romance,0.845,14.26,118,2018,0.725,70.331,0.337,8.439
Action,0.52,0.5,91,1995,0.603,24.037,0.707,7.283
SciFi,0.0,22.217,75,2016,0.171,60.809,0.379,7.189
Animation,0.604,12.05,119,2018,0.688,65.199,0.723,8.249
Drama,0.316,21.901,112,2008,0.549,59.535,0.984,9.342
Horror,0.518,35.901,103,2012,0.273,50.074,0.47,7.365
Horror,0.734,52.921,109,2025,0.0,67.651,0.562,7.728
Comedy,0.28,31.586,127,2011,0.44,72.647,0.617,7.361
SciFi,0.555,4.824,137,2014,0.572,59.195,0.359,7.972
SciFi,0.61,41.869,122,2010,0.488,73.201,0.524,8.885
Drama,0.295,38.015,103,2021,0.499,64.033,0.411,8.459
Action,0.273,39.688,80,2020,0.284,44.594,0.83,8.042
Comedy,0.408,13.332,109,2009,0.429,57.606,0.485,7.67
SciFi,0.395,16.769,111,2012,0.749,86.43,0.606,8.635
Action,0.556,45.653,92,2013,0.206,46.197,0.37,8.572
Romance,0.378,26.427,95,1996,0.278,82.567,0.419,7.836
Action,0.264,55.609,134,2000,0.695,62.183,0.629,9.683
Animation,0.665,19.453,117,2007,0.18,50.207,0.346,8.409
Comedy,0.426,4.42,125,2005,0.419,69.425,0.81,7.89
Drama,0.595,39.063,120,2008,0.614,62.733,0.421,9.259
Romance,0.469,43.917,115,2005,0.831,89.745,0.47,10.0
Action,0.64,33.555,100,2011,0.395,65.222,0.253,8.542
Horror,0.547,24.785,108,1995,0.348,71.01,0.649,7.629
SciFi,0.432,19.946,85,2004,0.352,50.174,0.387,7.727
Animation,0.306,44.207,107,2000,0.562,46.747,0.011,8.473
Horror,0.853,37.126,130,2015,0.416,65.487,0.499,8.92
SciFi,0.407,29.874,132,2006,0.595,56.326,0.61,7.765
Comedy,0.483,10.742,105,1998,0.738,76.679,0.149,9.542
Comedy,0.497,1.029,85,2005,0.95,40.896,0.039,5.729
Romance,0.356,33.299,123,2009,0.476,77.944,0.443,8.53
Action,0.445,28.923,109,1995,0.38,51.304,0.808,7.715
Animation,0.436,33.85,125,2012,0.246,92.802,0.591,8.542
Drama,0.237,44.353,107,2014,0.402,72.294,0.544,7.703
Action,0.636,40.189,110,2018,0.532,77.094,0.525,9.814
Action,0.411,38.501,90,2020,0.463,54.264,0.263,8.053
Drama,0.188,31.053,108,2021,0.482,60.308,0.407,8.161
Comedy,0.732,9.127,102,2013,0.34,47.001,0.65,8.706
Romance,0.642,34.622,100,2011,0.424,63.412,0.302,8.224
Romance,0.465,20.916,91,2016,0.244,58.915,0.831,7.589
Romance,0.948,41.349,70,2003,0.835,78.081,0.709,8.784
Action,0.507,37.971,102,2003,0.769,55.927,0.399,9.267
Drama,0.727,39.606,134,2017,0.565,59.763,0.545,8.994
Drama,0.62,49.4,118,1995,0.049,68.421,0.207,7.471
Drama,0.581,20.476,72,2021,0.604,77.731,0.576,9.363
Animation,0.039,16.959,100,1998,0.268,51.019,0.576,7.483
Action,0.198,51.951,100,1996,0.091,79.153,0.369,7.503
Action,0.766,34.077,113,1996,0.432,79.121,0.844,9.949
Comedy,0.732,10.152,98,2009,0.307,73.647,0.006,7.383
Romance,0.376,33.39,93,2005,0.398,61.241,0.894,8.273
SciFi,0.532,20.46,90,2003,0.342,54.431,0.726,7.622
Comedy,0.412,31.543,104,2004,0.241,55.885,0.364,7.193
SciFi,0.76,12.881,117,2005,0.672,54.851,1.0,8.09
Comedy,0.468,46.698,116,2021,0.422,63.166,0.119,9.546
Romance,0.794,15.693,97,2017,0.811,58.983,0.238,8.139
SciFi,0.134,50.2,105,2008,0.444,71.216,0.891,7.622
Horror,0.503,31.267,111,2014,0.678,68.942,0.779,8.868
Animation,0.135,29.367,99,2000,0.513,63.453,0.735,8.475
SciFi,0.624,38.231,116,2019,0.812,39.004,1.0,9.324
Comedy,0.655,47.962,94,2005,0.608,55.78,0.552,9.069
Drama,0.535,28.355,103,2020,0.281,75.228,0.35,8.715
Drama,0.714,38.055,89,2025,0.059,60.475,0.309,7.648
Romance,0.602,33.346,133,2001,0.296,42.386,0.422,7.105
Romance,0.693,30.158,114,2014,0.081,49.641,0.461,7.956
Comedy,0.837,38.779,130,2025,0.15,49.988,0.354,7.881
Animation,0.153,27.159,105,2011,0.105,85.065,0.502,7.614
SciFi,0.328,32.943,93,2017,0.774,81.344,0.422,8.106
Animation,0.361,26.461,107,2002,0.717,54.906,0.517,9.115
Horror,0.699,17.433,123,2012,0.405,86.568,0.712,8.334
Comedy,0.732,15.498,101,2014,0.359,79.07,0.282,8.688
Horror,0.42,43.439,114,2015,0.665,93.691,0.747,8.968
SciFi,0.727,13.684,89,2024,0.518,72.463,0.299,8.992
Drama,0.559,42.659,101,2016,0.935,70.506,0.366,9.285
Animation,0.434,30.369,85,2024,0.47,90.657,0.454,9.649
Horror,0.85,20.696,110,2015,0.461,39.695,0.466,8.189
Comedy,0.662,28.283,99,2002,0.063,62.385,0.519,6.909
Horror,0.454,35.353,118,2025,0.282,61.695,0.338,6.85
Drama,0.579,49.607,133,2004,0.533,64.271,0.676,7.879
Drama,0.532,45.611,110,2017,0.076,52.044,0.448,9.099
Comedy,0.551,51.075,140,2005,0.093,53.834,0.78,7.482
Horror,0.634,28.74,95,2001,0.696,51.772,0.535,8.875
Drama,0.432,35.867,113,2012,0.705,90.222,0.454,9.414
Comedy,0.965,46.288,107,2016,0.678,48.675,0.458,9.127
Drama,0.522,39.814,98,2000,0.631,64.485,0.141,8.974
Horror,0.885,21.632,116,2008,0.624,74.177,0.163,8.812
Drama,0.72,14.887,100,2016,0.338,67.568,0.771,8.827
Animation,0.207,46.112,77,2023,0.411,48.308,0.516,8.251
Romance,0.521,42.142,98,2017,0.744,42.784,0.139,8.715
Animation,0.569,40.122,129,2009,0.261,48.524,0.743,8.31
Romance,0.415,40.464,106,2022,0.783,90.994,0.14,8.813
Action,0.397,7.253,113,2019,0.785,18.552,0.233,7.664
Animation,0.544,32.841,94,2000,0.495,82.813,0.405,8.999
Romance,0.4,15.091,101,2001,0.71,63.244,0.522,9.172
Drama,0.795,21.954,95,2009,0.787,72.863,0.53,10.0
Comedy,0.341,32.215,125,2014,0.905,75.105,0.623,8.641
Action,0.457,28.932,108,2003,0.634,76.606,0.514,9.12
Romance,0.288,26.734,130,2011,0.605,49.937,0.193,7.917
Drama,0.38,10.985,116,1996,0.56,39.646,0.718,7.675
Comedy,0.511,32.565,112,2021,0.507,72.93,0.847,9.444
Animation,0.907,41.325,90,2018,0.629,78.485,0.674,10.0
SciFi,0.304,14.985,123,2008,0.399,72.548,0.619,7.767
Horror,0.597,28.679,108,2001,0.411,66.42,0.644,7.304
Drama,0.901,38.512,88,2010,0.726,71.912,0.488,7.787
Animation,0.362,19.635,105,1998,0.0,40.136,0.375,6.184
Animation,0.438,17.358,89,2005,0.11,87.014,0.449,8.279
SciFi,0.516,12.974,115,2018,0.537,84.84,0.681,8.869
SciFi,0.506,22.292,111,2002,0.763,61.151,0.44,8.202
Comedy,0.619,14.725,125,2002,0.799,55.626,0.886,8.589
Drama,0.616,39.795,110,2020,0.431,86.463,0.449,9.338
Animation,0.543,28.524,96,2001,0.0,57.013,0.404,7.28
Romance,0.453,19.96,122,2000,0.282,63.456,0.51,7.78
Comedy,0.444,74.144,124,2025,0.531,71.311,0.106,7.942
Comedy,0.507,36.029,107,2018,0.287,70.1,0.748,8.313
SciFi,0.395,9.802,116,2003,0.686,51.928,0.725,7.95
Horror,0.607,44.074,85,2019,0.486,85.735,1.0,8.038
Horror,0.538,45.386,89,2024,0.404,82.7,0.353,8.111
Horror,0.286,33.734,95,1997,0.741,53.132,0.843,8.483
Action,0.92,47.622,111,2018,0.321,75.851,0.284,9.418
Romance,0.338,42.443,97,2008,0.242,100.0,0.0,8.93
Comedy,0.827,35.514,125,2003,0.556,40.19,0.272,8.92
Romance,0.384,8.546,90,2018,0.036,65.345,0.785,7.83
Romance,0.41,19.655,89,2015,0.704,81.389,0.633,8.626
Comedy,0.106,7.887,111,2019,0.467,84.787,0.716,7.637
Action,0.708,20.362,108,2008,0.633,78.664,0.395,8.471
SciFi,0.393,17.634,104,2023,0.741,91.909,0.269,9.526
Animation,0.665,25.347,116,2018,0.604,89.114,0.491,9.604
Comedy,0.505,29.229,130,2011,0.664,54.279,0.603,8.173
Comedy,0.552,27.163,100,2000,0.379,64.881,0.342,7.892
Comedy,0.618,33.451,110,2023,0.307,76.189,0.305,8.861
Romance,0.45,36.284,120,2007,0.565,68.858,0.68,8.672
Horror,0.457,23.883,133,1995,0.656,51.572,0.12,7.555
Animation,0.536,50.368,110,2025,0.541,30.296,0.277,8.454
Horror,0.343,49.427,102,2002,0.681,85.679,0.366,8.275
Drama,0.547,48.983,90,1995,0.127,71.209,0.419,6.868
Comedy,0.601,31.234,73,2019,0.383,70.715,0.28,7.494
Horror,0.301,8.057,107,1995,1.0,61.73,0.518,7.858
Drama,0.87,1.69,107,2002,0.125,53.121,0.343,7.097
Horror,0.446,63.153,96,2010,0.991,62.562,0.837,8.567
Drama,0.253,15.241,130,2020,0.127,76.056,0.268,8.345
Drama,0.757,54.833,70,2022,0.0,71.614,0.775,8.446
SciFi,0.508,40.328,110,1997,0.133,100.0,0.987,10.0
Drama,0.584,50.94,95,2002,0.429,43.203,0.855,8.344
Romance,0.663,43.973,108,2017,0.392,59.692,0.654,7.408
Action,0.291,20.983,98,2017,0.482,40.92,0.251,6.64
Animation,0.365,34.219,109,1998,0.707,85.876,0.718,10.0
Action,0.373,22.974,106,2005,0.814,59.401,0.589,8.799
SciFi,0.573,43.819,87,2020,0.698,53.496,0.097,7.398
Comedy,0.466,31.598,111,2022,0.364,67.055,0.946,8.538
Horror,0.452,22.335,104,2022,0.905,72.403,0.131,7.951
Romance,0.4,66.345,145,2017,0.184,55.505,0.544,8.076
Horror,0.84,39.877,123,2022,0.825,62.025,0.047,8.468
Animation,0.437,34.817,80,2018,0.0,92.198,0.238,7.17
Action,0.327,25.962,90,2019,0.0,60.506,0.561,7.459
Comedy,0.339,24.284,91,1998,0.784,83.364,0.104,7.876
Animation,0.656,24.896,98,2009,0.229,60.856,0.304,8.445
Romance,0.611,37.291,130,2006,0.451,45.583,0.175,5.927
Comedy,0.093,59.917,106,1996,0.363,98.395,0.884,9.04
SciFi,0.559,18.182,93,1999,0.322,54.076,0.681,7.902
Horror,0.412,49.103,121,2019,0.865,55.445,0.084,7.468
Animation,0.209,36.116,96,2015,0.363,53.221,0.576,8.292
Horror,0.224,4.541,113,2013,0.828,42.116,0.549,7.924
Horror,0.65,8.53,112,2008,0.461,72.404,0.32,8.588
Animation,0.536,20.793,111,2012,0.454,75.792,0.101,8.347
Animation,0.486,9.557,97,2020,0.258,44.534,0.597,8.653
Action,0.614,48.387,118,2020,0.788,63.334,0.565,8.657
Action,0.368,2.937,98,1996,0.611,68.925,0.304,9.094
Comedy,0.073,46.806,122,2025,0.5,95.651,0.319,8.454
Comedy,0.738,9.539,99,2011,1.0,37.97,0.265,7.943
Romance,0.801,46.182,110,2004,0.661,71.457,0.363,9.54
SciFi,0.689,25.021,116,2014,0.221,73.919,0.476,9.226
Comedy,0.433,33.674,109,2017,0.763,71.294,0.632,8.91
Romance,0.385,26.781,100,2006,0.167,56.564,0.351,7.215
Animation,0.856,68.531,106,2014,0.523,65.187,0.698,8.89
Horror,0.44,49.631,118,2006,0.865,50.95,0.771,9.421
Drama,0.694,30.904,124,1998,0.452,66.573,0.374,7.379
SciFi,0.432,37.54,94,2011,0.31,80.892,0.46,8.768
Action,0.597,24.446,124,2006,0.418,72.792,0.147,8.409
Animation,0.254,13.549,121,2003,0.8,66.074,0.573,8.959
Horror,0.356,25.127,128,2006,0.325,62.004,0.317,6.391
Comedy,0.302,16.996,115,2009,0.299,64.831,0.0,7.925
Animation,0.538,51.125,120,2019,0.611,62.496,0.6,10.0
Action,0.655,32.623,114,2018,0.371,98.682,0.513,9.333
Horror,0.295,0.5,121,2016,0.722,96.39,0.493,7.302
SciFi,0.307,40.389,136,1995,0.413,42.23,0.5,6.883
Romance,0.262,1.37,146,2016,0.497,49.13,0.283,7.197
Animation,0.434,19.405,108,1997,0.41,70.95,0.451,8.601
Horror,0.36,39.986,135,2002,0.862,79.373,0.075,8.375
Horror,0.371,27.194,119,2018,0.33,53.987,1.0,7.259
Romance,0.079,26.908,139,2022,0.292,50.972,0.517,6.686
Drama,0.382,40.879,118,2018,0.591,77.922,0.734,9.766
Action,0.079,24.167,81,1995,0.794,77.256,0.803,8.74
Drama,0.698,9.138,133,2012,0.545,58.335,0.057,8.365
Comedy,0.712,49.152,141,2017,0.519,68.094,0.654,9.558
Romance,0.55,28.143,113,2016,0.59,81.264,0.4,8.395
Horror,0.267,31.204,106,2019,0.381,67.799,0.0,5.869
Animation,0.495,33.643,102,2025,0.54,66.945,0.665,9.818
Animation,0.474,25.506,117,2014,0.268,63.737,0.234,7.951
Animation,0.724,11.239,118,2018,0.311,64.198,0.552,7.405
Romance,0.506,57.802,117,2020,0.871,84.372,0.744,9.495
Animation,0.417,12.118,98,2002,0.684,75.433,0.476,9.147
Comedy,0.252,39.276,114,2008,0.544,42.005,0.439,8.261
Horror,0.482,12.24,112,2015,0.614,67.31,0.108,8.722
Romance,0.347,36.484,114,1996,0.521,57.949,0.314,7.663
SciFi,0.658,37.731,115,2025,0.275,65.74,0.784,9.365
Romance,0.123,20.46,97,2006,0.859,64.112,0.167,7.47
Drama,0.41,33.669,124,2023,0.777,78.099,0.442,9.202
Romance,0.554,21.047,103,2025,0.538,51.838,0.434,7.857
Comedy,0.0,21.527,108,1999,0.613,82.711,0.492,9.485
Animation,0.646,14.169,101,2015,0.695,58.276,0.0,9.008
SciFi,0.586,32.303,101,2003,0.457,57.556,0.81,8.751
Animation,0.628,28.323,116,2012,0.231,92.443,0.015,9.134
Horror,0.787,16.215,104,2014,0.479,74.481,0.594,8.817
Romance,0.959,31.918,92,2018,0.476,52.403,0.467,8.693
SciFi,0.808,37.827,117,2012,0.505,69.224,0.81,10.0
Comedy,0.455,56.308,102,2021,0.352,66.855,0.62,8.166
Drama,0.272,13.613,142,2023,0.119,57.686,0.212,7.513
Drama,0.779,28.055,124,2018,0.515,74.133,0.466,9.93
Animation,0.456,34.602,84,1998,0.435,42.441,0.682,7.958
Romance,0.332,15.818,114,2003,0.339,71.037,0.838,8.462
Horror,0.344,32.767,133,2006,0.67,78.752,0.223,7.91
Animation,0.584,22.614,85,2015,0.524,62.415,0.711,9.713
Romance,0.256,25.565,106,1997,0.253,72.374,0.345,7.001
Romance,0.182,25.954,117,2007,0.182,59.598,0.58,8.468
Action,0.532,47.349,128,2003,0.719,81.46,1.0,9.886
Animation,0.756,45.17,97,2001,0.833,81.24,0.824,10.0
Drama,0.27,25.729,117,1996,0.31,61.804,0.45,7.806
Action,0.634,37.577,81,1999,0.466,75.691,0.501,8.749
Drama,0.695,23.987,101,2023,0.347,44.058,0.382,6.951
Horror,0.547,36.34,140,2006,0.873,76.994,0.604,7.874
Action,0.85,46.19,97,2000,0.297,70.873,0.61,9.485
Romance,0.392,10.614,102,2003,0.996,84.096,0.315,9.72
Romance,0.351,37.967,84,2022,0.629,61.527,0.378,7.686
Horror,0.163,38.803,137,1998,0.432,31.457,0.202,6.236
Comedy,0.586,36.14,123,2005,0.214,65.625,0.834,8.328
Romance,0.32,53.373,103,2008,0.345,47.229,0.405,6.812
Comedy,0.512,15.19,123,2008,0.073,60.624,0.566,7.177
Action,0.501,31.132,112,2012,0.498,57.074,0.522,9.561
Drama,0.781,47.511,85,2021,0.678,77.794,0.662,9.136
Horror,0.518,58.105,117,2025,0.547,62.215,0.369,8.155
Horror,0.193,13.856,126,2016,0.252,56.624,0.378,6.513
Comedy,0.446,34.558,127,2021,0.651,42.892,0.713,8.162
SciFi,0.521,25.98,97,2008,0.454,48.989,0.475,7.81
Action,0.73,55.702,134,2011,0.584,73.048,0.712,8.106
Horror,0.725,3.402,100,2024,0.308,59.391,0.582,8.784
Drama,0.739,26.939,117,2001,0.482,60.873,0.55,7.936
SciFi,0.733,25.251,106,2017,0.288,67.562,0.206,7.292
Comedy,0.681,34.869,99,1998,0.591,83.005,0.66,9.341
Drama,0.461,33.709,116,2001,0.156,50.553,0.385,8.396
Romance,0.634,25.214,126,1996,0.665,40.588,0.328,8.267
Drama,0.549,44.068,110,2004,0.785,60.471,0.402,9.672
Drama,0.807,26.179,122,2018,0.647,47.288,0.493,8.938
Animation,0.457,15.291,123,2022,0.644,67.071,0.458,8.601
Romance,0.765,43.211,130,2015,0.199,80.125,0.808,9.514
Romance,0.49,15.84,98,2019,0.262,87.092,0.375,8.577
Animation,0.553,28.425,104,2002,0.131,70.27,0.832,8.97
Romance,0.552,36.787,109,1995,0.816,88.682,0.0,8.32
Animation,0.686,19.204,101,2004,0.543,71.421,0.672,9.005
Comedy,0.565,25.921,93,2010,0.92,61.569,0.0,8.982
Action,0.728,26.927,101,2008,0.655,85.85,0.063,9.41
Animation,0.639,20.777,100,1997,0.377,48.779,0.459,9.368
Romance,1.0,40.943,134,2017,0.655,65.82,0.472,9.414
Comedy,0.368,3.394,97,2002,0.287,75.794,0.733,8.05
Romance,0.14,23.937,117,1998,0.6,94.463,0.22,8.185
Drama,0.367,42.623,115,2014,0.112,67.008,0.3,8.038
Action,0.032,19.788,116,2013,0.637,84.943,0.566,7.597
Drama,0.821,40.23,70,2001,0.974,75.061,0.863,9.762
Drama,0.498,39.336,117,1997,0.656,57.92,0.877,9.623
Romance,0.324,37.489,104,1996,0.95,82.726,0.271,9.667
Comedy,0.651,63.939,91,2020,0.536,77.33,0.827,8.952
Horror,0.743,38.523,92,2023,0.418,61.54,0.329,7.301
Drama,0.308,6.037,107,2018,0.035,61.523,0.631,7.146
Animation,0.529,19.227,134,2016,0.248,75.094,0.774,8.704
Animation,0.677,13.376,97,1996,0.248,73.169,1.0,8.195
Comedy,0.621,21.568,103,2001,1.0,53.191,0.462,8.885
Animation,0.389,39.604,100,1998,0.933,58.205,0.156,8.177
Drama,0.556,37.454,96,2019,0.207,94.399,0.266,8.917
SciFi,0.293,19.463,88,2017,0.827,55.978,0.179,7.512
Animation,0.05,35.215,113,2021,0.788,78.186,0.308,8.55
Horror,0.5,9.025,89,2011,0.402,61.628,0.469,7.108
Comedy,0.702,33.193,91,1998,0.594,80.913,0.965,10.0
Horror,0.183,44.459,102,1995,0.106,89.327,0.338,6.84
Romance,0.493,27.394,138,2020,0.815,52.899,1.0,8.919
Action,0.615,30.843,90,2021,0.827,64.279,0.282,9.359
Horror,0.729,32.074,150,2001,0.314,54.994,1.0,8.338
Horror,0.696,45.447,119,2023,0.478,61.343,0.634,8.611
Comedy,0.812,8.814,109,2020,0.17,80.956,0.913,8.333
Comedy,0.628,26.792,123,2015,0.648,66.085,0.357,8.157
Action,0.331,26.944,108,2018,0.687,77.063,0.34,8.442
Comedy,0.419,21.309,119,2018,0.949,69.941,0.069,8.814
Drama,0.209,37.247,114,1995,0.288,49.918,0.721,8.299
SciFi,0.579,35.781,109,1997,0.657,50.803,0.509,8.754
Horror,0.331,34.366,95,2010,0.596,63.485,0.407,7.242
Drama,0.354,17.78,116,2023,0.679,73.412,0.792,9.117
Drama,0.469,47.24,109,2014,0.48,64.116,0.31,8.598
Action,0.517,33.44,127,1999,0.543,68.003,0.733,8.919
Comedy,0.471,34.57,133,2025,0.64,73.566,0.534,9.164
Romance,0.342,26.018,109,2011,0.208,97.003,0.313,8.152
Animation,0.633,39.257,102,2007,0.854,81.041,0.372,9.536
Comedy,0.722,25.029,121,2018,0.324,63.216,0.717,9.129
Comedy,0.623,16.755,104,2015,0.615,50.144,0.984,7.925
Drama,0.358,23.509,120,2025,0.181,50.157,0.452,8.574
Horror,0.74,33.587,96,1997,0.552,79.116,0.633,9.028
Action,0.488,32.018,102,2020,0.746,60.255,0.664,9.581
Comedy,0.566,23.111,108,2003,0.373,29.539,0.632,6.876
SciFi,0.664,20.196,110,2005,0.282,66.532,0.576,8.091
Drama,0.502,23.205,113,2000,0.231,53.062,0.504,8.053
Action,0.256,6.814,142,2004,0.458,91.613,0.979,9.222
SciFi,0.557,50.933,115,1997,0.038,70.309,0.318,8.007
Drama,0.505,14.834,97,2014,0.425,77.081,0.561,9.361
Romance,0.477,37.47,108,2006,0.608,62.335,0.576,9.639
Comedy,0.639,38.127,103,2000,0.253,85.484,0.711,9.311
SciFi,0.16,64.909,107,2022,0.99,75.07,0.576,9.446
Drama,0.659,36.09,89,2003,0.202,54.182,0.0,7.312
Drama,0.449,46.22,90,2023,0.813,39.228,0.258,7.805
SciFi,0.241,26.602,88,2005,0.0,67.442,0.216,7.726
Romance,0.686,46.644,119,2022,0.517,86.626,0.738,8.725
Action,0.569,29.067,120,2021,0.514,51.983,0.691,8.114
Animation,0.809,0.785,104,2019,0.869,56.936,0.228,7.334
Action,0.621,24.585,83,2022,1.0,57.654,0.384,8.91
Horror,0.544,36.597,121,2022,0.397,61.753,0.385,7.928
Action,0.525,61.73,111,2016,0.556,51.291,0.455,9.29
Drama,0.671,22.211,113,2011,0.296,70.69,0.276,8.656
Action,0.307,10.431,98,2007,0.598,70.361,0.68,7.839
Action,0.349,20.934,90,2025,0.595,69.769,0.759,8.346
Comedy,0.585,32.783,113,2017,0.844,52.629,0.641,9.358
Romance,0.866,28.834,120,2020,0.602,85.45,0.444,8.828
Action,0.696,39.904,104,2004,0.229,78.752,0.195,8.871
Comedy,0.765,42.344,139,1999,0.86,59.779,0.454,9.035
Drama,0.59,23.77,110,2006,0.465,84.481,0.437,8.591
Action,0.511,32.697,110,2016,0.974,63.285,0.351,9.239
Comedy,0.515,23.201,114,2010,0.287,60.673,0.0,7.532
Drama,0.731,2.807,117,2004,0.37,34.379,0.576,6.305
Animation,0.419,25.847,100,1995,0.129,74.226,0.706,8.67
Drama,1.0,18.772,110,2018,0.411,49.992,0.529,9.156
Horror,0.166,0.5,126,2023,0.237,100.0,0.113,6.596
Romance,0.413,22.171,120,2013,0.0,88.805,0.474,7.967
SciFi,0.387,2.857,129,2013,0.811,91.065,0.412,7.99
Horror,1.0,37.593,106,2016,0.883,96.684,0.237,9.08
Drama,0.427,30.453,105,2001,0.764,60.857,0.828,9.673
Horror,0.556,12.964,132,1996,0.498,78.928,0.397,8.86
Romance,0.748,25.042,132,1999,0.387,74.925,0.496,8.096
Comedy,0.458,64.162,116,2002,0.635,45.23,0.0,8.647
Action,0.852,8.999,102,2008,0.412,59.283,0.301,7.383
Comedy,0.357,29.998,125,2001,0.467,71.022,0.179,7.564
SciFi,0.642,53.935,113,2011,0.403,52.853,0.577,9.355
Horror,0.374,19.761,123,2025,0.45,66.899,0.0,6.732
Horror,0.594,34.355,131,2013,0.257,57.196,0.49,6.767
Drama,0.431,57.346,119,1999,0.478,65.939,0.68,7.702
Horror,0.545,24.656,104,1998,1.0,61.599,0.598,8.492
Drama,0.722,35.023,104,2013,0.313,43.124,0.66,8.627
Comedy,0.016,15.091,130,2015,0.901,72.605,0.331,7.545
Action,1.0,37.18,90,2001,0.502,65.084,0.399,8.763
Action,0.502,37.015,127,2007,0.546,72.183,0.544,7.381
Animation,0.822,32.752,138,2003,0.665,44.578,0.72,8.348
Horror,0.525,32.495,125,2002,0.821,76.784,0.861,8.32
Drama,0.434,28.311,116,2013,0.129,65.984,0.2,8.394
Action,0.143,36.171,117,1998,0.664,62.946,0.485,8.017
Romance,0.772,26.77,106,2024,0.416,71.501,0.705,8.525
Action,0.687,28.385,120,2006,0.267,79.979,0.325,8.143
Comedy,0.49,15.722,129,2005,0.021,72.473,0.779,8.646
Romance,0.435,44.189,128,2007,0.319,84.904,0.42,8.644
SciFi,0.784,32.91,91,1999,0.393,46.068,0.21,7.324
Animation,0.45,32.585,115,1998,0.382,56.042,0.247,7.828
Comedy,0.34,57.087,106,2018,0.533,58.208,0.795,8.162
Horror,0.508,14.353,128,1998,0.635,89.287,0.597,7.802
Romance,0.57,48.348,81,2005,0.713,75.261,0.738,9.655
SciFi,0.547,40.878,98,2001,0.579,64.211,0.234,7.203
Action,0.437,11.623,99,2016,0.553,67.217,0.516,8.449
Animation,0.289,40.306,118,2018,0.57,88.366,0.394,8.789
Comedy,0.477,14.638,102,2006,0.167,90.236,0.772,7.626
Horror,0.326,36.409,115,2020,0.543,58.122,0.488,7.689
SciFi,0.501,24.799,119,2025,0.384,92.272,0.318,9.022
Animation,0.863,1.546,127,2022,0.648,44.509,0.462,7.823
SciFi,0.757,27.645,103,2010,1.0,48.228,0.463,8.936
Horror,0.488,43.506,110,2012,0.364,70.464,0.296,7.949
Action,0.059,30.527,115,2025,0.184,56.961,0.731,6.906
Drama,0.986,25.641,93,1997,0.301,78.022,0.315,9.444
Action,0.733,47.411,113,2015,0.332,78.813,0.601,8.029
Comedy,0.567,30.68,114,2012,0.048,53.602,0.347,7.532
Horror,0.465,54.194,118,2017,0.774,81.514,0.382,8.729
Action,0.954,4.3,103,2008,0.621,74.63,0.409,8.898
Horror,0.516,29.502,78,2020,0.425,63.964,0.662,6.738
Comedy,0.531,24.469,116,1996,0.613,57.012,0.812,10.0
Comedy,0.05,16.546,99,1998,0.445,60.021,0.657,7.443
Romance,0.483,15.965,119,2017,0.41,60.335,0.726,6.991
Comedy,0.372,18.331,108,2017,0.387,63.188,0.353,8.473
SciFi,0.419,30.525,134,2011,0.248,68.012,0.908,8.381
Animation,0.687,30.957,106,2002,0.384,44.402,0.382,8.366
Horror,0.582,19.801,99,2025,0.389,75.465,0.602,7.687
Animation,0.351,17.973,120,2002,0.544,74.21,0.426,8.616
Drama,0.833,34.974,140,2019,0.289,91.578,0.148,9.783
SciFi,0.3,30.737,113,2018,0.627,50.937,0.137,8.261
Romance,0.505,2.778,75,2024,0.297,52.028,0.055,7.064
SciFi,0.415,25.065,84,2003,0.628,77.535,0.484,7.048
Comedy,0.636,23.328,105,2002,0.317,66.679,0.292,7.928
Drama,0.476,15.79,126,2020,0.254,43.862,0.713,7.95
Romance,0.432,40.608,117,2009,0.751,69.113,0.504,8.223
SciFi,0.721,31.046,115,2025,0.968,80.329,0.0,8.883
Horror,0.646,53.118,105,1999,0.997,66.314,0.653,9.787
